Rank	Position	Player	Age	ADP
1	WR	Dez Bryant	26	2.33
2	WR	Odell Beckham Jr	22	3.00
3	TE	Rob Gronkowski	26	4.33
4	WR	Julio Jones	26	4.83
5	RB	Le'Veon Bell	23	5.33
6	WR	Mike Evans	21	5.50
7	WR	Antonio Brown	27	6.67
8	QB	Andrew Luck	25	8.33
9	WR	AJ Green	27	8.67
10	WR	Demaryius Thomas	27	8.67
11	WR	Alshon Jeffery	25	11.83
12	WR	Calvin Johnson	29	13.67
13	RB	Eddie Lacy	24	14.00
14	WR	Randall Cobb	24	14.50
15	WR	DeAndre Hopkins	23	15.17
16	WR	Sammy Watkins	22	16.50
17	QB	Aaron Rodgers	31	17.33
18	WR	Jordy Nelson	30	17.50
19	TE	Jimmy Graham	28	20.67
20	RB	Jamaal Charles	28	21.33
21	WR	Amari Cooper	21	21.50
22	WR	TY Hilton	25	22.83
23	RB	Todd Gurley	21	22.83
24	WR	Brandin Cooks	21	23.83
25	RB	Jeremy Hill	22	24.17
26	RB	LeSean McCoy	27	26.00
27	WR	Kelvin Benjamin	24	27.33
28	WR	Kevin White	23	27.83
29	WR	Jordan Matthews	23	28.33
30	RB	DeMarco Murray	27	29.83
31	RB	Melvin Gordon	22	31.00
32	RB	Matt Forte	29	33.50
33	WR	Keenan Allen	23	33.50
34	RB	Carlos Hyde	23	35.17
35	QB	Russell Wilson	26	37.17
36	WR	Allen Robinson	21	37.17
37	RB	CJ Anderson	24	38.83
38	RB	Adrian Peterson	30	40.00
39	WR	Devante Parker	22	40.50
40	RB	Marshawn Lynch	29	41.00
41	WR	Martavis Bryant	23	43.83
42	WR	Davante Adams	22	44.17
43	WR	Emmanuel Sanders	28	44.67
44	TE	Travis Kelce	25	44.83
45	WR	Dorial Green-Beckham	22	47.00
46	RB	Arian Foster	28	48.17
47	QB	Cam Newton	26	48.33
48	RB	Giovani Bernard	23	49.17
49	WR	Golden Tate	27	49.67
50	RB	Lamar Miller	24	50.00
51	WR	Jeremy Maclin	27	51.50
52	WR	Michael Floyd	25	52.83
53	RB	Mark Ingram	25	53.00
54	WR	Jarvis Landry	22	53.67
55	WR	Brandon Marshall	31	55.00
56	RB	TJ Yeldon	21	55.67
57	WR	Julian Edelman	29	55.67
58	WR	Nelson Agholor	22	57.17
59	RB	Alfred Morris	26	59.83
60	RB	Tevin Coleman	22	62.00
61	WR	DeSean Jackson	28	62.17
62	WR	Donte Moncrief	22	63.67
63	QB	Matt Ryan	30	63.83
64	RB	Latavius Murray	24	65.33
65	WR	Breshad Perriman	21	65.83
66	RB	Ameer Abdullah	22	67.67
67	TE	Greg Olsen	30	69.50
68	TE	Julius Thomas	27	70.50
69	RB	Andre Ellington	26	70.83
70	WR	Charles Johnson	26	73.00
71	RB	Isaiah Crowell	22	73.17
72	WR	Jaelen Strong	22	73.83
73	WR	Torrey Smith	26	74.00
74	WR	Cody Latimer	22	74.50
75	QB	Matthew Stafford	27	75.50
76	WR	Mike Wallace	29	77.33
77	RB	Duke Johnson	21	77.83
78	QB	Teddy Bridgewater	22	78.50
79	RB	Jonathan Stewart	28	78.50
80	TE	Martellus Bennett	28	79.50
81	QB	Ryan Tannehill	27	81.50
82	WR	Kenny Stills	23	81.83
83	RB	Jay Ajayi	22	83.50
84	WR	Devin Funchess	21	84.83
85	RB	Jerick McKinnon	23	84.83
86	WR	Andre Johnson	34	87.50
87	RB	CJ Spiller	27	88.33
88	TE	Eric Ebron	22	88.50
89	WR	Eric Decker	28	88.67
90	TE	Austin Seferian-Jenkins	22	88.67
91	TE	Zach Ertz	24	90.00
92	QB	Jameis Winston	21	95.33
93	RB	Tre Mason	22	98.83
94	WR	Kendall Wright	25	99.00
95	RB	Justin Forsett	29	100.17
96	RB	Joique Bell	29	100.33
97	RB	Bishop Sankey	22	101.67
98	RB	Shane Vereen	26	102.17
99	TE	Jordan Cameron	27	103.67
100	WR	John Brown	25	104.17
101	RB	Charles Sims	24	104.17
102	QB	Ben Roethlisberger	33	105.50
103	RB	Frank Gore	32	106.33
104	WR	Phillip Dorsett	22	106.50
105	WR	Josh Gordon	24	106.67
106	RB	David Johnson	23	106.83
107	TE	Tyler Eifert	24	106.83
108	RB	David Cobb	22	110.00
109	QB	Drew Brees	36	111.17
110	WR	Percy Harvin	27	112.17
111	TE	Maxx Williams	21	112.50
112	WR	Brandon LaFell	28	113.17
113	QB	Peyton Manning	39	113.33
114	RB	Christine Michael	24	114.17
115	WR	Brian Quick	26	115.67
116	WR	Roddy White	33	118.00
117	WR	Vincent Jackson	32	118.17
118	RB	Doug Martin	26	118.50
119	WR	Victor Cruz	28	118.67
120	QB	Marcus Mariota	21	119.67
121	TE	Josh Hill	25	120.17
122	TE	Dwayne Allen	25	120.17
123	WR	Larry Fitzgerald	31	122.00
124	RB	Devonta Freeman	23	123.17
125	RB	Darren McFadden	27	123.67
126	WR	Marqise Lee	23	124.00
127	WR	Devin Smith	23	127.33
128	WR	Tyler Lockett	21	128.67
129	WR	Rueben Randle	24	129.33
130	QB	Tom Brady	38	130.50
131	QB	Derek Carr	24	131.17
132	RB	Knile Davis	23	132.50
133	WR	Cordarrelle Patterson	24	134.67
134	WR	Justin Blackmon	25	134.83
135	WR	Pierre Garcon	29	136.17
136	WR	Sammie Coates	22	138.17
137	TE	Jordan Reed	25	139.33
138	TE	Ladarius Green	25	139.33
139	WR	Chris Conley	22	140.50
140	TE	Kyle Rudolph	25	141.00
141	QB	Colin Kaepernick	27	144.17
142	WR	Michael Crabtree	27	144.33
143	WR	Terrance Williams	25	146.00
144	RB	Ryan Mathews	27	146.17
145	RB	Andre Williams	22	147.17
146	WR	Marvin Jones	25	147.83
147	TE	Jace Amaro	23	149.17
148	RB	Terrance West	24	151.00
149	QB	Eli Manning	34	151.33
150	TE	Coby Fleener	26	151.50
151	RB	Mike Davis	22	152.00
152	QB	Tony Romo	35	152.00
